Failed Test Case,"Number of Times, the TC failed due to unrelated changes",Path,Latest Failed Build ID
test_df_conversion_tuple,1,tests/sqllab_tests.py,596725786
test_explain,1,tests/sqllab_tests.py,596725786
test_multi_sql,1,tests/sqllab_tests.py,596725786
test_queries_endpoint,1,tests/sqllab_tests.py,596725786
test_search_query_on_db_id,1,tests/sqllab_tests.py,596725786
test_search_query_on_status,1,tests/sqllab_tests.py,596725786
test_search_query_on_text,1,tests/sqllab_tests.py,596725786
test_search_query_on_user,1,tests/sqllab_tests.py,596725786
test_sql_json,1,tests/sqllab_tests.py,596725786
test_sql_json_has_access,1,tests/sqllab_tests.py,596725786
test_sql_limit,1,tests/sqllab_tests.py,596725786
test_sqllab_viz,1,tests/sqllab_tests.py,596725786
test_top_n_dashboards_strategy,1,tests/strategy_tests.py,596725786
